Year	Collection_Year	Quarter	Plot	Trap	Deciduous	Flag_Deciduous	Pine	Flag_Pine	Rhododendron	Flag_Rhododendron	Other	Flag_Other	Twigs_25	Flag_Twigs_25	Twigs_25_10	Flag_Twigs_25_10	Lvs_Non_Rhodo	Flag_Lvs_Non_Rhodo	Total_Leaves	Flag_Total_Leaves	Total_Lvs_Other	Flag_Total_Lvs_Other	Comments
1994	1	3	118	A	NaN		NaN		0.00		NaN		NaN		NaN		245.28		245.28		NaN		
1994	1	3	118	B	NaN		NaN		0.00		NaN		NaN		NaN		269.18		269.18		NaN		
1994	1	3	118	C	NaN		NaN		0.00		NaN		NaN		NaN		277.76		277.76		NaN		
1994	1	3	118	D	NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		
1994	1	3	118	E	NaN		NaN		0.00		NaN		NaN		NaN		231.43		231.43		NaN		
1994	1	3	118	F	NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		
1994	1	3	118	G	NaN		NaN		0.00		NaN		NaN		NaN		177.77		177.77		NaN		
1994	1	3	118	H	NaN		NaN		0.00		NaN		NaN		NaN		226.58		226.58		NaN		
1994	1	3	118	I	NaN		NaN		0.00		NaN		NaN		NaN		348.94		348.94		NaN		
1994	1	3	118	J	NaN		NaN		0.00		NaN		NaN		NaN		313.74		313.74		NaN		
1994	1	3	218	A	NaN		NaN		0.00		NaN		NaN		NaN		274.51		274.51		NaN		
1994	1	3	218	B	NaN		NaN		0.00		NaN		NaN		NaN		279.69		279.69		NaN		
1994	1	3	218	C	NaN		NaN		0.00		NaN		NaN		NaN		265.53		265.53		NaN		
1994	1	3	218	D	NaN		NaN		0.00		NaN		NaN		NaN		226.38		226.38		NaN		
1994	1	3	218	E	NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		
1994	1	3	218	F	NaN		NaN		0.00		NaN		NaN		NaN		267.42		267.42		NaN		
1994	1	3	218	G	NaN		NaN		0.00		NaN		NaN		NaN		222.98		222.98		NaN		
1994	1	3	218	H	NaN		NaN		0.00		NaN		NaN		NaN		298.27		298.27		NaN		
1994	1	3	218	I	NaN		NaN		0.00		NaN		NaN		NaN		286.45		286.45		NaN		
1994	1	3	218	J	NaN		NaN		0.00		NaN		NaN		NaN		262.01		262.01		NaN		
1994	1	3	318	A	NaN		NaN		13.01		NaN		NaN		NaN		285.42		298.43		NaN		
1994	1	3	318	B	NaN		NaN		28.10		NaN		NaN		NaN		244.39		272.49		NaN		
1994	1	3	318	C	NaN		NaN		41.55		NaN		NaN		NaN		333.52		375.06		NaN		
1994	1	3	318	D	NaN		NaN		42.38		NaN		NaN		NaN		356.17		398.54		NaN		
1994	1	3	318	E	NaN		NaN		45.52		NaN		NaN		NaN		349.40		394.92		NaN		
1994	1	3	318	F	NaN		NaN		59.91		NaN		NaN		NaN		352.26		412.17		NaN		
1994	1	3	318	G	NaN		NaN		7.27		NaN		NaN		NaN		352.35		359.62		NaN		
1994	1	3	318	H	NaN		NaN		18.63		NaN		NaN		NaN		313.63		332.26		NaN		
1994	1	3	318	I	NaN		NaN		53.98		NaN		NaN		NaN		301.53		355.51		NaN		
1994	1	3	318	J	NaN		NaN		39.19		NaN		NaN		NaN		321.69		360.88		NaN		
1994	1	3	427	A	NaN		NaN		44.69		NaN		NaN		NaN		272.11		316.80		NaN		
1994	1	3	427	B	NaN		NaN		33.54		NaN		NaN		NaN		323.84		357.38		NaN		
1994	1	3	427	C	NaN		NaN		52.81		NaN		NaN		NaN		289.97		342.78		NaN		
1994	1	3	427	D	NaN		NaN		34.59		NaN		NaN		NaN		246.07		280.66		NaN		
1994	1	3	427	E	NaN		NaN		26.25		NaN		NaN		NaN		348.04		374.29		NaN		
1994	1	3	427	F	NaN		NaN		42.44		NaN		NaN		NaN		253.59		296.04		NaN		
1994	1	3	427	G	NaN		NaN		19.19		NaN		NaN		NaN		282.07		301.26		NaN		
1994	1	3	427	H	NaN		NaN		13.44		NaN		NaN		NaN		289.45		302.90		NaN		
1994	1	3	427	I	NaN		NaN		20.13		NaN		NaN		NaN		280.94		301.07		NaN		
1994	1	3	427	J	NaN		NaN		14.49		NaN		NaN		NaN		326.46		340.95		NaN		
1994	1	3	527	A	NaN		NaN		0.00		NaN		NaN		NaN		209.61		209.61		NaN		
1994	1	3	527	B	NaN		NaN		13.57		NaN		NaN		NaN		186.24		199.81		NaN		
1994	1	3	527	C	NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		NaN		
1994	1	3	527	D	NaN		NaN		0.00		NaN		NaN		NaN		240.35		240.35		NaN		
1994	1	3	527	E	NaN		NaN		0.00		NaN		NaN		NaN		253.35		253.35		NaN		
1994	1	3	527	F	NaN		NaN		0.00		NaN		NaN		NaN		225.77		225.77		NaN		
1994	1	3	527	G	NaN		NaN		0.00		NaN		NaN		NaN		272.62		272.62		NaN		
